Name,Date time,Maximum Temperature,Minimum Temperature,Temperature,Wind Chill,Heat Index,Precipitation,Snow,Snow Depth,Wind Speed,Wind Direction,Wind Gust,Visibility,Cloud Cover,Relative Humidity,Conditions
South Africa,06/01/2010,17.7,3.8,10.4,2.8,,0,,,17.8,155.96,,12.4,0.8,65.42,Clear
South Africa,06/02/2010,18.8,3.1,10.4,1.8,,0,,,17.5,187,35.3,12.1,1.5,53.65,Clear
South Africa,06/03/2010,18.4,3.3,10.8,1.1,,0,,,12.7,192.38,,13.3,0,49.94,Clear
South Africa,06/04/2010,19.3,3.4,11.3,6.9,,0,,,18.1,249.96,,13.5,1.5,53.99,Clear
South Africa,06/05/2010,22.1,3,12.6,3.6,,0,,,17.7,238.04,,15,0.3,43.01,Clear
South Africa,06/06/2010,23.1,6,13.7,5,,0,,,15.2,232.08,,14.2,0,37.89,Clear
South Africa,06/07/2010,22.6,4.4,13.4,4.9,,0,,,10.7,288.42,,13.2,0,48.46,Clear
South Africa,06/08/2010,20.3,5.5,13.2,5.6,,0,,,18.4,279.13,27.7,13.2,0,52.28,Clear
South Africa,06/09/2010,20.3,5.1,12.2,2.3,,0,,,15.9,210.54,33.5,14.5,0.4,52.19,Clear
South Africa,06/10/2010,17.3,5.5,11.9,5.3,,0,,,33.7,54.92,,13,34.4,69.49,Partially cloudy
South Africa,06/11/2010,17.3,9,11.8,6,,0,,,23.8,59.92,,11.1,33.5,80.33,Partially cloudy
South Africa,06/12/2010,19.2,5.7,11.7,4.1,,0,,,13.2,294.75,,13.2,3.4,76.71,Clear
South Africa,06/13/2010,21.2,6.4,13,8.3,,0,,,26.9,290.75,,13,2.8,72.76,Clear
South Africa,06/14/2010,19.8,3.9,12.3,2.7,,0,,,25.9,266.25,,13.7,1.1,42.63,Clear
South Africa,06/15/2010,11.9,3,6.5,-1.5,,0,,,36.4,220.67,,13.9,2,47.7,Clear
South Africa,06/16/2010,11.7,-2.1,4.2,-5.5,,0,,,15.3,194.79,,14.9,0.5,47.64,Clear
South Africa,06/17/2010,13,-3.8,4.7,-5.6,,0,,,18.2,132.67,,13.6,0.5,45.24,Clear
South Africa,06/18/2010,14.3,0,7,-4.5,,0,,,93.7,107.25,,13.2,0.3,51.9,Clear
South Africa,06/19/2010,14.7,-0.1,7.1,-1.8,,0,,,10.9,229.04,,14.9,0.4,57.46,Clear
South Africa,06/20/2010,18.4,0.1,9,-0.4,,0,,,15.4,167.38,,14.8,0,49.39,Clear
South Africa,06/21/2010,17.7,1.9,9.3,0,,0,,,9.6,218.83,,12.6,0,49.98,Clear
South Africa,06/22/2010,19.9,1.3,10.2,1.4,,0,,,11.6,221.58,,12.5,0,51.23,Clear
South Africa,06/23/2010,19.6,3.2,10.6,2.2,,0,,,16.3,213.04,,12.3,0.1,47.44,Clear
South Africa,06/24/2010,20.5,2,10.1,0,,0,,,13.3,201.74,,11.7,0,49.51,Clear
South Africa,06/25/2010,22.9,1.1,11.7,3,,0,,,10.3,182.75,,10.7,0,38.25,Clear
South Africa,06/26/2010,24.9,3.4,12.7,5.6,,0,,,9,211.63,,11.9,0,37.06,Clear
South Africa,06/27/2010,22.8,5.6,13.6,4.4,,0,,,20,96.54,,12,0.5,39.07,Clear
South Africa,06/28/2010,16.3,5,11,3.6,,0,,,21.1,90.54,,13.5,31.2,69.5,Partially cloudy
South Africa,06/29/2010,16.9,9.7,13,8.9,,0,,,16.8,84.33,,13.9,39.1,75.74,Partially cloudy
South Africa,06/30/2010,19.1,9,14,8.5,,0,,,16.7,218.48,27.7,13.7,19.6,61.25,Clear
South Africa,07/01/2010,18.9,6.7,13,4.7,,0,,,25.4,112.71,,13.2,7,57.01,Clear
South Africa,07/02/2010,17.5,8.3,12.2,7,,0,,,17,84.25,,16.4,31,72.33,Partially cloudy
South Africa,07/03/2010,18.9,7.2,12.3,7.7,,0,,,10,137.48,,13.2,19.4,68.63,Clear
South Africa,07/04/2010,15.7,4.1,11.1,3.5,,0,,,25.7,104.09,,12.5,24.7,63.95,Clear
South Africa,07/05/2010,18.4,11.1,14.6,,,0,,,15.5,117.63,,13.9,43.6,55.56,Partially cloudy
South Africa,07/06/2010,19.9,7.5,13.4,6.9,,0,,,14.3,168.21,,13.2,15.9,62.68,Clear
South Africa,07/07/2010,21.2,7.1,13.6,7.4,,0,,,20.8,132,,12.4,7,56.44,Clear
South Africa,07/08/2010,19.5,5.5,11.6,4,,0,,,24.2,157.46,,12.1,9.4,67.56,Clear
South Africa,07/09/2010,18.1,6.6,11.3,,,0,,,14.9,228.25,,13.7,20.1,66.3,Clear
South Africa,07/10/2010,19.6,4,11.5,,,0,,,18.3,228.29,,13.5,0.1,58.88,Clear
South Africa,07/11/2010,21.3,4.2,12.7,,,0,,,27.5,202.75,,14.2,0.4,51.19,Clear
South Africa,07/12/2010,13,2.6,7.3,-1.2,,0,,,23.7,191.54,,13.7,0.2,46.19,Clear
South Africa,07/13/2010,14.9,0.8,7.1,-2.4,,0,,,23,87.46,,13.9,6.7,60.22,Clear
South Africa,07/14/2010,16.9,3.5,9.5,0.4,,0,,,26.9,188.54,,13.9,1.8,61.25,Clear
South Africa,07/15/2010,17.8,3.6,10.8,1.9,,0,,,28,234.38,,13.9,8,61.09,Clear
South Africa,07/16/2010,14.7,0.6,7,-3.2,,0,,,26.2,179.5,,14,0.2,43.95,Clear
South Africa,07/17/2010,19.4,-1.3,8.8,-5.4,,0,,,13.3,128.33,,14.9,0,37.97,Clear
South Africa,07/18/2010,20.3,2.1,10.4,0.8,,0,,,16.8,101.54,,13.9,0,35.13,Clear
South Africa,07/19/2010,20.2,3.1,10.6,3.2,,0,,,10.9,144.18,,13.2,0,43.56,Clear
South Africa,07/20/2010,20.2,1.2,10.6,3.2,,0,,,9,213.25,,13.2,0,50.07,Clear
South Africa,07/21/2010,20.2,2.9,11.2,-0.3,,0,,,23.2,135.83,,12.6,0.1,49.48,Clear
South Africa,07/22/2010,20.3,5.6,13.1,6.4,,0,,,10.4,103.88,,13.3,17.8,62.73,Clear
South Africa,07/23/2010,21.1,6.1,13.2,5.2,,0,,,9.5,191.29,,13.1,4.3,62.54,Clear
South Africa,07/24/2010,20.4,7,13.6,6.6,,0,,,19.4,204.7,,14.2,16.9,55.06,Clear
South Africa,07/25/2010,22.7,7.4,14.9,7.2,,0,,,19.8,169.21,,12.9,10.1,44.22,Clear
South Africa,07/26/2010,21.2,7.7,14.5,,,0,,,11,144.33,,13,21.3,51.69,Clear
South Africa,07/27/2010,23.9,8.5,15.5,,,0,,,24.8,199.08,,12.1,3.9,43.05,Clear
South Africa,07/28/2010,22.6,6.4,14.9,7.2,,0,,,14.3,163,,12.5,0,34.75,Clear
South Africa,07/29/2010,23.3,5.7,14.5,5.9,,0,,,13.6,111.96,,12.6,0,39.23,Clear
South Africa,07/30/2010,19.5,5.5,12,4.4,,0,,,16.8,177.42,,11.8,20.4,65.6,Clear
South Africa,07/31/2010,19.5,5.2,13.1,3.7,,0,,,10.4,196.13,,12.4,14,63.41,Clear
South Africa,08/01/2010,23,6.2,14.4,5.2,,0,,,10.6,120.83,,13,0,47.3,Clear
South Africa,08/02/2010,21.6,4.5,13,4.2,,0,,,12.2,154.42,,13.3,0,44.33,Clear
South Africa,08/03/2010,23.4,4.2,13.2,7.8,,0,,,10.8,191.58,,13.8,0,43.37,Clear
South Africa,08/04/2010,23,4.9,13.4,5.8,,0,,,17.7,104.17,46.4,13,0,36.03,Clear
South Africa,08/05/2010,21.5,4.8,13.2,5.1,,0,,,11.7,200.71,,13.1,0,49.31,Clear
South Africa,08/06/2010,22.3,6.5,14.8,5.7,,0,,,17.1,143.71,,11.5,0,38.37,Clear
South Africa,08/07/2010,21.3,6,13.4,5.6,,0,,,13.7,124.71,,11,0.4,49.66,Clear
South Africa,08/08/2010,21.7,6.1,13.7,8.8,,0,,,21.6,242.22,,12.5,0,48.88,Clear
South Africa,08/09/2010,22.1,6,13.4,5.1,,0,,,27,228.96,,13.8,0,39.19,Clear
South Africa,08/10/2010,18.9,3.4,10.1,0.3,,0,,,27.6,136.5,,13,0,26.36,Clear
South Africa,08/11/2010,16.1,2,8.6,-3.1,,0,,,30.3,99.88,,12.9,0,50.28,Clear
South Africa,08/12/2010,16.8,0.8,8.4,-1.2,,0,,,14.5,94,,14.2,0,56.9,Clear
South Africa,08/13/2010,21.1,1.8,10.8,3.9,,0,,,13.6,236.42,25.9,13.3,0,48.3,Clear
South Africa,08/14/2010,24.7,5.3,13.8,3.9,,0,,,10.1,227.13,,14.5,0,36.86,Clear
South Africa,08/15/2010,27.1,7.5,16.5,5.1,25.9,0,,,18,241.54,,13.5,0.2,23.92,Clear
South Africa,08/16/2010,26.3,7.1,16,5.8,,0,,,14.3,128.21,,13.9,0,21.95,Clear
South Africa,08/17/2010,22.5,5.7,13.9,5.1,,0,,,16.8,192.14,,13.7,0,48.96,Clear
South Africa,08/18/2010,23.8,7.6,15.2,,,0,,,17.2,259,,12.5,0,44.74,Clear
South Africa,08/19/2010,26.2,6.8,17,,,0,,,27.5,228.29,,14.1,1.4,32.97,Clear
South Africa,08/20/2010,19,8.5,13.6,6.3,,0,,,25.8,111.38,,12.7,29.8,56.16,Partially cloudy
South Africa,08/21/2010,21.6,5.6,12.8,3.5,,0,,,11.9,205.33,,14,4.6,64.01,Clear
South Africa,08/22/2010,25.6,6.4,15.8,9,,0,,,24.7,216.29,,12.9,0,48.59,Clear
South Africa,08/23/2010,26,8.6,16.1,,,0,,,16.2,211.67,,13.7,0,34.37,Clear
South Africa,08/24/2010,21.3,7.3,14.2,6.9,,0,,,21.9,100.33,,11.3,2.4,57.03,Clear
South Africa,08/25/2010,21.4,8,14.2,6.2,,0,,,18.8,117.04,31.3,12,21.4,67.43,Clear
South Africa,08/26/2010,22.5,8,14.9,6.6,,0,,,20.1,207.63,,12.9,1.2,63.34,Clear
South Africa,08/27/2010,27.1,9.6,17.5,9.4,26.1,0,,,18.5,204.92,,13.1,2.4,49.37,Clear
South Africa,08/28/2010,28.6,10.2,18.3,,27.2,0,,,17,176.3,,14.2,0.4,41.8,Clear
South Africa,08/29/2010,28.6,11.2,19.8,,27.1,15.7,,,13.5,174.46,,13.7,0,39.42,Rain
South Africa,08/30/2010,26.7,11.5,18.8,,25.9,0,,,16.8,64.58,,12.9,0,44.08,Clear
South Africa,08/31/2010,26.8,10,17.2,,25.9,0,,,15.9,194.42,,12.3,0,38.93,Clear
South Africa,09/01/2010,27.5,8.1,17.7,9.2,26.3,0,,,15.8,241.58,40.7,12.8,0,31.11,Clear
